0	1	0.209
10	1.39153407	0.21607
20	1.394588751	0.22535
30	1.365625309	0.22786
40	1.51428577	0.2214
50	1.686507779	0.214
60	1.890476313	0.21428
70	1.844898127	0.21786
80	1.794558044	0.21964
90	1.90833525	0.21786
100	2.214286	0.2154
110	2.240196308	0.20786
120	2.120980176	0.18786
130	1.396428381	0.15928
140	1.41845219	0.1446
150	1.440476	0.1571
160	1.640691945	0.1532
170	1.708690392	0.1443
180	1.651428395	0.1393
190	1.594166397	0.14786
200	1.527031021	0.18964
210	1.495938869	0.224
220	1.599364998	0.225
230	1.769683002	0.1964
240	1.685713401	0.1896
250	1.333332883	0.2393
260	1.443809214	0.3075
270	1.725713774	0.3214
280	1.894642774	0.325
290	2.015773804	0.3221
300	2.136904833	0.3028
310	2.305128439	0.2607
320	2.528754955	0.2153
330	2.752381471	0.215
340	2.976007987	0.23
350	2.940476	0.225
360	2.883766733	0.206
370	2.715584181	0.1839
380	2.687301452	0.175
390	2.762856773	0.1893
400	2.833332859	0.2225
410	2.903808945	0.26
420	2.974285031	0.232
430	3.040351069	0.214
440	3.142355688	0.1964
450	3.244360307	0.1786
460	3.156303106	0.1696
470	2.938655829	0.1571
480	2.721008553	0.1857
490	2.503361276	0.207
500	2.285714	0.1825
510	3.209905358	0.2142
520	3.128857397	0.216
530	3.047809436	0.1896
540	2.966761475	0.175
550	2.885713514	0.208
560	2.804665553	0.208
570	2.723617592	0.208
