-5.000000000000000000000E+01	2.027701595000000000000E-04	1.079223205000000000000E-03	0.000000000000000000000E+00	1.017225928000000000000E-02	2.539158095000000000000E-01	3.551277838000000000000E-01	2.890000000000000000000E+01	2.890000000000000000000E+01	0.000000000000000000000E+00	0.000000000000000000000E+00	1.399208675000000000000E-06	4.320890668000000000000E-07	8.594434082000000000000E-07	5.848474107000000000000E-07	1.500000000000000000000E+01	0.000000000000000000000E+00	3.550000000000000000000E+01	3.450000000000000000000E+01	0.000000000000000000000E+00	-5.000000000000000000000E+01
-1.500000000000000000000E+02	6.557111899000000000000E-04	1.389381931000000000000E-03	6.424796525000000000000E-03	1.480701003000000000000E-02	2.021361767000000000000E-01	3.115463720000000000000E-01	2.889992667000000000000E+01	2.889993291000000000000E+01	3.415326237000000000000E-07	2.040079871000000000000E-07	4.930283290000000000000E-07	2.425260175000000000000E-07	6.166373359000000000000E-13	2.188573179000000000000E-13	1.431839149000000000000E+01	6.130928872000000000000E-02	3.545000000000000000000E+01	3.450000000000000000000E+01	-1.148000000000000000000E+01	-5.205000000000000000000E+01
-2.500000000000000000000E+02	9.637381726000000000000E-04	1.471120831000000000000E-03	1.066694365000000000000E-02	1.604165907000000000000E-02	1.706140082000000000000E-01	2.999711149000000000000E-01	2.889991823000000000000E+01	2.889993035000000000000E+01	2.095831518000000000000E-07	1.097664025000000000000E-07	1.317738692000000000000E-07	3.983888133000000000000E-08	2.847771537000000000000E-13	7.647215429000000000000E-14	1.362022657000000000000E+01	8.706754900000000000000E-02	3.541000000000000000000E+01	3.451000000000000000000E+01	-2.304000000000000000000E+01	-5.298000000000000000000E+01
-3.500000000000000000000E+02	1.180620593000000000000E-03	1.522057909000000000000E-03	1.356361074000000000000E-02	1.680752788000000000000E-02	1.510559416000000000000E-01	2.926648931000000000000E-01	2.889991284000000000000E+01	2.889992877000000000000E+01	1.394235310000000000000E-07	6.627719103000000000000E-08	9.167420400000000000000E-08	2.402862332000000000000E-08	1.979874413000000000000E-13	4.636952258000000000000E-14	1.295489967000000000000E+01	1.098045060000000000000E-01	3.536000000000000000000E+01	3.451000000000000000000E+01	-3.387000000000000000000E+01	-5.389000000000000000000E+01
-4.500000000000000000000E+02	1.342254463000000000000E-03	1.555121802000000000000E-03	1.566709962000000000000E-02	1.730213076000000000000E-02	1.385512834000000000000E-01	2.878531699000000000000E-01	2.889990955000000000000E+01	2.889992787000000000000E+01	9.282152611000000000000E-08	4.115817247000000000000E-08	6.325337261000000000000E-08	1.477494932000000000000E-08	1.358665879000000000000E-13	2.881854353000000000000E-14	1.232103393000000000000E+01	1.295155585000000000000E-01	3.532000000000000000000E+01	3.451000000000000000000E+01	-4.402000000000000000000E+01	-5.476000000000000000000E+01
-5.500000000000000000000E+02	1.583736671000000000000E-03	1.599783304000000000000E-03	1.874345811000000000000E-02	1.796601858000000000000E-02	1.229145679000000000000E-01	2.812610573000000000000E-01	2.889990583000000000000E+01	2.889992687000000000000E+01	6.700460361000000000000E-08	2.698767136000000000000E-08	4.789827557000000000000E-08	9.502818358000000000000E-09	1.022888942000000000000E-13	1.893956038000000000000E-14	1.116959540000000000000E+01	1.628493220000000000000E-01	3.524000000000000000000E+01	3.451000000000000000000E+01	-6.211000000000000000000E+01	-5.643000000000000000000E+01
-6.500000000000000000000E+02	1.769779278000000000000E-03	1.634264691000000000000E-03	2.107807802000000000000E-02	1.847536919000000000000E-02	1.132005986000000000000E-01	2.761107650000000000000E-01	2.889990404000000000000E+01	2.889992627000000000000E+01	4.936253765000000000000E-08	1.866189189000000000000E-08	3.630592076000000000000E-08	6.357617195000000000000E-09	7.714599523000000000000E-14	1.309235977000000000000E-14	1.012433732000000000000E+01	1.930374822000000000000E-01	3.517000000000000000000E+01	3.451000000000000000000E+01	-7.820000000000000000000E+01	-5.813000000000000000000E+01
-7.500000000000000000000E+02	1.916240082000000000000E-03	1.662429004000000000000E-03	2.289683184000000000000E-02	1.888890341000000000000E-02	1.073904395000000000000E-01	2.718681358000000000000E-01	2.889990356000000000000E+01	2.889992592000000000000E+01	3.757171125000000000000E-08	1.369260425000000000000E-08	2.783444541000000000000E-08	4.472832636000000000000E-09	5.911048578000000000000E-14	9.588491581000000000000E-15	9.175977958000000000000E+00	2.203878877000000000000E-01	3.511000000000000000000E+01	3.451000000000000000000E+01	-9.248000000000000000000E+01	-5.986000000000000000000E+01
-8.500000000000000000000E+02	2.033053939000000000000E-03	1.686464000000000000000E-03	2.433682201000000000000E-02	1.923983343000000000000E-02	1.042645564000000000000E-01	2.682290893000000000000E-01	2.889990396000000000000E+01	2.889992570000000000000E+01	2.965864365000000000000E-08	1.064114643000000000000E-08	2.163906152000000000000E-08	3.314900284000000000000E-09	4.634107287000000000000E-14	7.434436583000000000000E-15	8.316002066000000000000E+00	2.451842886000000000000E-01	3.505000000000000000000E+01	3.452000000000000000000E+01	-1.051000000000000000000E+02	-6.161000000000000000000E+01
-9.500000000000000000000E+02	2.126757434000000000000E-03	1.707634796000000000000E-03	2.548575635000000000000E-02	1.954735950000000000000E-02	1.030561762000000000000E-01	2.650163119000000000000E-01	2.889990493000000000000E+01	2.889992556000000000000E+01	2.419493363000000000000E-08	8.686916403000000000000E-09	1.708356052000000000000E-08	2.595346672000000000000E-09	3.716670464000000000000E-14	6.057373800000000000000E-15	7.536601330000000000000E+00	2.676888643000000000000E-01	3.500000000000000000000E+01	3.452000000000000000000E+01	-1.162000000000000000000E+02	-6.339000000000000000000E+01
